name,target,bodyPart,equipment,exercise_type,mechanics,difficulty_level
lever seated hip abduction,abductors,upper legs,leverage machine,Isolation,Other,1
side hip abduction,abductors,upper legs,body weight,Isolation,Other,1
straight leg outer hip abductor,abductors,upper legs,body weight,Isolation,Other,1
side bridge hip abduction,abductors,upper legs,body weight,Isolation,Other,1
resistance band seated hip abduction,abductors,upper legs,resistance band,Isolation,Other,1
3/4 sit-up,abs,waist,body weight,Isolation,Other,1
45° side bend,abs,waist,body weight,Isolation,Other,1
air bike,abs,waist,body weight,Cardio,Other,1
alternate heel touchers,abs,waist,body weight,Isolation,Other,1
assisted hanging knee raise with throw down,abs,waist,assisted,Compound,Push,1
assisted hanging knee raise,abs,waist,assisted,Isolation,Push,1
assisted lying leg raise with lateral throw down,abs,waist,assisted,Compound,Push,1
assisted lying leg raise with throw down,abs,waist,assisted,Compound,Push,1
assisted motion russian twist,abs,waist,medicine ball,Isolation,Other,1
barbell press sit-up,abs,waist,barbell,Compound,Push,3
cable hip adduction,adductors,upper legs,cable,Isolation,Other,1
lever seated hip adduction,adductors,upper legs,leverage machine,Isolation,Other,1
butterfly yoga pose,adductors,upper legs,body weight,Isolation,Other,1
assisted side lying adductor stretch,adductors,upper legs,assisted,Isolation,Other,1
side plank hip adduction,adductors,upper legs,body weight,Isolation,Other,1
side lying hip adduction (male),adductors,upper legs,body weight,Isolation,Other,1
barbell alternate biceps curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell drag curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell lying preacher curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell preacher curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell prone incline curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell reverse curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell reverse preacher curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell seated close-grip concentration curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell standing close grip curl,biceps,upper arms,barbell,Isolation,Pull,2
barbell seated calf raise,calves,lower legs,barbell,Isolation,Push,2
barbell standing leg calf raise,calves,lower legs,barbell,Isolation,Push,2
barbell standing rocking leg calf raise,calves,lower legs,barbell,Isolation,Push,2
circles knee stretch,calves,lower legs,body weight,Isolation,Other,1
donkey calf raise,calves,lower legs,body weight,Isolation,Push,1
dumbbell seated one leg calf raise,calves,lower legs,dumbbell,Isolation,Push,1
dumbbell single leg calf raise,calves,lower legs,dumbbell,Isolation,Push,1
dumbbell standing calf raise,calves,lower legs,dumbbell,Isolation,Push,1
lever seated calf raise,calves,lower legs,leverage machine,Isolation,Push,1
lever standing calf raise,calves,lower legs,leverage machine,Isolation,Push,1
jack burpee,cardiovascular system,cardio,body weight,Compound,Other,1
mountain climber,cardiovascular system,cardio,body weight,Cardio,Other,1
run (equipment),cardiovascular system,cardio,body weight,Cardio,Other,1
run,cardiovascular system,cardio,body weight,Cardio,Other,1
stationary bike walk,cardiovascular system,cardio,leverage machine,Cardio,Other,1
burpee,cardiovascular system,cardio,body weight,Compound,Other,1
dumbbell burpee,cardiovascular system,cardio,dumbbell,Compound,Other,2
stationary bike run v. 3,cardiovascular system,cardio,stationary bike,Cardio,Other,1
walk elliptical cross trainer,cardiovascular system,cardio,elliptical machine,Cardio,Other,1
walking on stepmill,cardiovascular system,cardio,stepmill machine,Cardio,Other,1
barbell front raise,delts,shoulders,barbell,Isolation,Push,2
barbell one arm snatch,delts,shoulders,barbell,Compound,Other,3
barbell rear delt raise,delts,shoulders,barbell,Isolation,Push,2
barbell rear delt row,delts,shoulders,barbell,Compound,Pull,3
barbell seated behind head military press,delts,shoulders,barbell,Compound,Push,3
barbell seated bradford rocky press,delts,shoulders,barbell,Compound,Push,3
barbell seated overhead press,delts,shoulders,barbell,Compound,Push,3
barbell skier,delts,shoulders,barbell,Isolation,Other,2
barbell standing bradford press,delts,shoulders,barbell,Compound,Push,3
barbell standing front raise over head,delts,shoulders,barbell,Isolation,Push,2
barbell reverse wrist curl v. 2,forearms,lower arms,barbell,Isolation,Pull,2
barbell reverse wrist curl,forearms,lower arms,barbell,Isolation,Pull,2
barbell standing back wrist curl,forearms,lower arms,barbell,Isolation,Pull,2
barbell wrist curl v. 2,forearms,lower arms,barbell,Isolation,Pull,2
barbell wrist curl,forearms,lower arms,barbell,Isolation,Pull,2
cable reverse wrist curl,forearms,lower arms,cable,Isolation,Pull,1
cable standing back wrist curl,forearms,lower arms,cable,Isolation,Pull,1
cable wrist curl,forearms,lower arms,cable,Isolation,Pull,1
dumbbell lying pronation,forearms,lower arms,dumbbell,Isolation,Other,1
dumbbell lying supination,forearms,lower arms,dumbbell,Isolation,Other,1
barbell clean-grip front squat,glutes,upper legs,barbell,Compound,Push,3
